	region	iso	varidxs	intergenic_bool	homologs	has_wildtype	exact_hit	exact_loc	contig_set	in_gene_nt_1	in_gene_nt_1_loc	in_gene_nt_2	in_gene_nt_2_loc	adj1_nt	adj2_nt	adj1_nt_loc	adj2_nt_loc	in_gene_p_1	in_gene_p_1_loc	in_gene_p_2	in_gene_p_2_loc	adj1_p	adj2_p	adj1_p_loc	adj2_p_loc	gene_no_prot	prot_no_gene
0	0	pCAMPY86	[0, 1]	False			False			False	[]	False	[]	False		[]		False	[]	False	[]					0	0
1	0	pCAMPY80	[0, 1]	False	1.0	True	True	[['pCAMPY80-c_000000000103-x', 553, 404, 1, 150, 100.0]]	('pCAMPY80-c_000000000103-x',)	True	[['pCAMPY80-c_000000000103-x', 482, 2353, 1, 1872, 100.0]]	True	[['pCAMPY80-c_000000000103-x', 1, 525, 241, 765, 99.81]]	True		[['pCAMPY80-c_000000000017-x', 62, 159, 1, 98, 100.0]]		True	[['pCAMPY80-c_000000000103-x', 482, 2353, 1, 1872, 100.0]]	True	[['pCAMPY80-c_000000000103-x', 1, 525, 241, 765, 99.81]]					0	0
2	0	crofts_1R	[0, 1]	False	1.0	True	True	[['crofts_1R-c_000000000007-x', 81381, 81232, 1, 150, 100.0]]	('crofts_1R-c_000000000007-x',)	True	[['crofts_1R-c_000000000007-x', 81310, 83181, 1, 1872, 100.0]]	True	[['crofts_1R-c_000000000007-x', 80589, 81353, 1, 765, 100.0]]	True		[['crofts_1R-c_000000000007-x', 80406, 80309, 1, 98, 100.0]]		True	[['crofts_1R-c_000000000007-x', 81310, 83181, 1, 1872, 100.0]]	True	[['crofts_1R-c_000000000007-x', 80589, 81353, 1, 765, 100.0]]					0	0
3	0	crofts_8R2	[0, 1]	False	1.0	False	True	[['crofts_8R2-c_000000000007-x', 81383, 81232, 1, 150, 98.684]]	('crofts_8R2-c_000000000007-x',)	True	[['crofts_8R2-c_000000000007-x', 81312, 83183, 1, 1872, 100.0]]	True	[['crofts_8R2-c_000000000007-x', 80589, 81355, 1, 765, 99.73899999999999]]	True		[['crofts_8R2-c_000000000007-x', 80406, 80309, 1, 98, 100.0]]		True	[['crofts_8R2-c_000000000007-x', 81312, 83183, 1, 1872, 100.0]]	True	[['crofts_8R2-c_000000000007-x', 80589, 81355, 1, 765, 99.73899999999999]]					0	0
4	0	crofts_4D1	[0, 1]	False	2.0	False	True	[['crofts_4D1-c_000000000183-x', 81382, 81232, 1, 150, 99.338], ['crofts_4D1-c_000000000007-x', 81382, 81232, 1, 150, 99.338]]	('crofts_4D1-c_000000000007-x', 'crofts_4D1-c_000000000183-x')	True	[['crofts_4D1-c_000000000183-x', 81311, 83182, 1, 1872, 100.0], ['crofts_4D1-c_000000000007-x', 81311, 83182, 1, 1872, 100.0]]	True	[['crofts_4D1-c_000000000183-x', 80589, 81354, 1, 765, 99.869], ['crofts_4D1-c_000000000007-x', 80589, 81354, 1, 765, 99.869]]	True		[['crofts_4D1-c_000000000183-x', 80406, 80309, 1, 98, 100.0], ['crofts_4D1-c_000000000007-x', 80406, 80309, 1, 98, 100.0]]		True	[['crofts_4D1-c_000000000183-x', 81311, 83182, 1, 1872, 100.0], ['crofts_4D1-c_000000000007-x', 81311, 83182, 1, 1872, 100.0]]	True	[['crofts_4D1-c_000000000183-x', 80589, 81354, 1, 765, 99.869], ['crofts_4D1-c_000000000007-x', 80589, 81354, 1, 765, 99.869]]					0	0
5	0	crofts_31R	[0, 1]	False	1.0	True	True	[['crofts_31R-c_000000000007-x', 22881, 23030, 1, 150, 100.0]]	('crofts_31R-c_000000000007-x',)	True	[['crofts_31R-c_000000000007-x', 22952, 21081, 1, 1872, 100.0]]	True	[['crofts_31R-c_000000000007-x', 23673, 22909, 1, 765, 100.0]]	True		[['crofts_31R-c_000000000007-x', 23856, 23953, 1, 98, 100.0]]		True	[['crofts_31R-c_000000000007-x', 22952, 21081, 1, 1872, 100.0]]	True	[['crofts_31R-c_000000000007-x', 23673, 22909, 1, 765, 100.0]]					0	0
6	0	CAMPY82_spr11	[0, 1]	False	1.0	False	True	[['CAMPY82_spr11-c_000000000306-x', 838, 690, 1, 150, 99.333]]	('CAMPY82_spr11-c_000000000306-x',)	True	[['CAMPY82_spr11-c_000000000306-x', 767, 1994, 1, 1228, 99.837]]	True	[['CAMPY82_spr11-c_000000000306-x', 47, 810, 1, 765, 99.73899999999999]]	True		[['CAMPY82_spr11-c_000000000175-x', 75, 172, 1, 98, 100.0]]		True	[['CAMPY82_spr11-c_000000000306-x', 767, 1994, 1, 1228, 99.837]]	True	[['CAMPY82_spr11-c_000000000306-x', 47, 810, 1, 765, 99.73899999999999]]					0	0
7	0	pCAMPY22	[0, 1]	False	1.0	True	True	[['pCAMPY22-c_000000000542-x', 503, 354, 1, 150, 100.0]]	('pCAMPY22-c_000000000542-x',)	True	[['pCAMPY22-c_000000000071-x', 4819, 3151, 204, 1872, 100.0]]	True	[['pCAMPY22-c_000000000542-x', 1, 475, 291, 765, 100.0]]	True		[['pCAMPY22-c_000000000138-x', 47, 144, 1, 98, 100.0]]		True	[['pCAMPY22-c_000000000071-x', 4819, 3151, 204, 1872, 100.0]]	True	[['pCAMPY22-c_000000000542-x', 1, 475, 291, 765, 100.0]]					0	0
8	0	crofts_innoc	[0, 1]	False	1.0	False	True	[['crofts_innoc-c_000000000007-x', 81383, 81232, 1, 150, 98.684]]	('crofts_innoc-c_000000000007-x',)	True	[['crofts_innoc-c_000000000007-x', 81312, 83183, 1, 1872, 100.0]]	True	[['crofts_innoc-c_000000000007-x', 80589, 81355, 1, 765, 99.73899999999999]]	True		[['crofts_innoc-c_000000000007-x', 80406, 80309, 1, 98, 100.0]]		True	[['crofts_innoc-c_000000000007-x', 81312, 83183, 1, 1872, 100.0]]	True	[['crofts_innoc-c_000000000007-x', 80589, 81355, 1, 765, 99.73899999999999]]					0	0
9	0	CAMPY10	[0, 1]	False	1.0	False	True	[['CAMPY10-c_000000000707-x', 59, 207, 1, 150, 98.0]]	('CAMPY10-c_000000000707-x',)	True	[['CAMPY10-c_000000000538-x', 949, 1, 843, 1791, 98.736]]	True	[['CAMPY10-c_000000000707-x', 611, 87, 240, 765, 93.156]]	True		[['CAMPY10-c_000000000246-x', 2204, 2107, 1, 98, 95.91799999999999]]		True	[['CAMPY10-c_000000000538-x', 949, 1, 843, 1791, 98.736]]	True	[['CAMPY10-c_000000000707-x', 611, 87, 240, 765, 93.156]]					0	0
