	Crofts_Innoc_Region_Count	Crofts_Innoc_has_Wildtype	Crofts_Primary_w_Region	Crofts_Primary_w_Wildtype	Crofts_Primary_wo_Region	Crofts_Primary_wo_Wildtype	Crofts_Relapse_w_Region	Crofts_Relapse_w_Wildtype	Crofts_Relapse_wo_Region	Crofts_Relapse_wo_Wildtype	Iquitos_Primary_w_Region	Iquitos_Primary_w_Wildtype	Iquitos_Primary_wo_Region	Iquitos_Primary_wo_Wildtype	Iquitos_Relapse_w_Region	Iquitos_Relapse_w_Wildtype	Iquitos_Relapse_wo_Region	Iquitos_Relapse_wo_Wildtype	Ref_Full_Region_Count	Ref_Full_has_Wildtype	Ref_Sim_Region_Count	Ref_Sim_has_Wildtype
0	True	True	15	15	0	0	6	6	0	0	6	5	0	1	5	4	1	2	True	True	True	True
1	True	True	15	15	0	0	6	6	0	0	6	5	0	1	5	4	1	2	True	True	True	True
2	True	True	15	15	0	0	6	6	0	0	6	5	0	1	5	4	1	2	True	True	True	True
3	True	True	15	15	0	0	6	6	0	0	6	5	0	1	5	4	1	2	True	True	True	True
4	True	True	15	15	0	0	6	6	0	0	5	6	1	0	5	6	1	0	True	True	True	True
5	True	False	15	0	0	15	6	0	0	6	3	0	3	6	3	0	3	6	True	False	True	False
6	True	True	15	15	0	0	6	6	0	0	3	3	3	3	2	2	4	4	True	True	True	True
7	True	False	15	0	0	15	6	0	0	6	3	0	3	6	3	0	3	6	True	False	True	False
8	True	True	15	15	0	0	6	6	0	0	3	3	3	3	2	2	4	4	True	True	True	True
9	True	False	15	0	0	15	6	0	0	6	3	0	3	6	3	0	3	6	True	False	True	False
10	True	True	15	15	0	0	6	6	0	0	3	3	3	3	2	2	4	4	True	True	True	True
11	True	True	15	15	0	0	6	5	0	1	6	1	0	5	6	1	0	5	True	True	True	True
12	True	True	15	15	0	0	6	6	0	0	6	4	0	2	6	4	0	2	True	True	True	True
13	True	True	15	15	0	0	6	5	0	1	4	3	2	3	5	3	1	3	True	True	True	True
14	True	True	15	15	0	0	6	5	0	1	4	4	2	2	5	5	1	1	True	True	True	True
15	True	False	15	0	0	15	6	0	0	6	3	0	3	6	2	0	4	6	True	False	True	False
16	True	True	15	15	0	0	6	6	0	0	5	1	1	5	5	1	1	5	True	True	True	True
17	True	False	15	0	0	15	6	0	0	6	3	0	3	6	2	0	4	6	True	False	True	False
18	True	True	15	15	0	0	6	6	0	0	5	1	1	5	5	1	1	5	True	True	True	True
19	True	True	15	15	0	0	6	6	0	0	3	1	3	5	4	0	2	6	True	True	True	True
20	True	True	15	15	0	0	6	6	0	0	3	1	3	5	4	0	2	6	True	True	True	True
21	True	True	15	15	0	0	6	4	0	2	4	1	2	5	4	1	2	5	True	True	True	True
22	True	True	15	15	0	0	6	6	0	0	2	3	4	3	5	1	1	5	True	True	True	True
