	region	iso	varidxs	intergenic_bool	homologs	has_wildtype	exact_hit	exact_loc	contig_set	in_gene_nt_1	in_gene_nt_1_loc	in_gene_nt_2	in_gene_nt_2_loc	direct_hits	direct_hits_loc
0	0	CG8421	[0, 1]	False	1.0	True	True	[('CG8421-NZ_CP005388-x', 67564, 67713, 1, 150, 100.0)]	('CG8421-NZ_CP005388-x',)	True	[('CG8421-NZ_CP005388-x', 67592, 68356, 1, 765, 100.0)]	True	[('CG8421-NZ_CP005388-x', 66196, 67635, 1, 1440, 100.0)]	True	[('CG8421-NZ_CP005388-x', 67592, 68356, 1, 765, 100.0)]
1	0	CG8421_sim	[0, 1]	False	1.0	True	True	[('CG8421_sim-c_000000000005-x', 81441, 81590, 1, 150, 100.0)]	('CG8421_sim-c_000000000005-x',)	True	[('CG8421_sim-c_000000000005-x', 80798, 81562, 1, 765, 100.0)]	True	[('CG8421_sim-c_000000000005-x', 81519, 82958, 1, 1440, 100.0)]	True	[('CG8421_sim-c_000000000005-x', 80798, 81562, 1, 765, 100.0)]
2	0	crofts_31R	[0, 1]	False	1.0	True	True	[('crofts_31R-c_000000000007-x', 22881, 23030, 1, 150, 100.0)]	('crofts_31R-c_000000000007-x',)	True	[('crofts_31R-c_000000000007-x', 22909, 23673, 1, 765, 100.0)]	True	[('crofts_31R-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_31R-c_000000000007-x', 22909, 23673, 1, 765, 100.0)]
3	0	crofts_21D1	[0, 1]	False	1.0	True	True	[('crofts_21D1-c_000000000007-x', 81232, 81381, 1, 150, 100.0)]	('crofts_21D1-c_000000000007-x',)	True	[('crofts_21D1-c_000000000007-x', 80589, 81353, 1, 765, 100.0)]	True	[('crofts_21D1-c_000000000007-x', 81310, 82749, 1, 1440, 100.0)]	True	[('crofts_21D1-c_000000000007-x', 80589, 81353, 1, 765, 100.0)]
4	0	crofts_33D1	[0, 1]	False	1.0	True	True	[('crofts_33D1-c_000000000007-x', 81232, 81381, 1, 150, 100.0)]	('crofts_33D1-c_000000000007-x',)	True	[('crofts_33D1-c_000000000007-x', 80589, 81353, 1, 765, 100.0)]	True	[('crofts_33D1-c_000000000007-x', 81310, 82749, 1, 1440, 100.0)]	True	[('crofts_33D1-c_000000000007-x', 80589, 81353, 1, 765, 100.0)]
5	0	crofts_1R	[0, 1]	False	1.0	True	True	[('crofts_1R-c_000000000007-x', 81232, 81381, 1, 150, 100.0)]	('crofts_1R-c_000000000007-x',)	True	[('crofts_1R-c_000000000007-x', 80589, 81353, 1, 765, 100.0)]	True	[('crofts_1R-c_000000000007-x', 81310, 82749, 1, 1440, 100.0)]	True	[('crofts_1R-c_000000000007-x', 80589, 81353, 1, 765, 100.0)]
6	0	crofts_8R1	[0, 1]	False	1.0	True	True	[('crofts_8R1-c_000000000007-x', 22881, 23030, 1, 150, 100.0)]	('crofts_8R1-c_000000000007-x',)	True	[('crofts_8R1-c_000000000007-x', 22909, 23673, 1, 765, 100.0)]	True	[('crofts_8R1-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_8R1-c_000000000007-x', 22909, 23673, 1, 765, 100.0)]
7	0	crofts_9D2	[0, 1]	False	1.0	False	True	[('crofts_9D2-c_000000000007-x', 81232, 81382, 1, 150, 99.338)]	('crofts_9D2-c_000000000007-x',)	True	[('crofts_9D2-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]	True	[('crofts_9D2-c_000000000007-x', 81311, 82750, 1, 1440, 100.0)]	True	[('crofts_9D2-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]
8	0	crofts_4D1	[0, 1]	False	2.0	False	True	[('crofts_4D1-c_000000000183-x', 81232, 81382, 1, 150, 99.338), ('crofts_4D1-c_000000000007-x', 81232, 81382, 1, 150, 99.338)]	('crofts_4D1-c_000000000183-x', 'crofts_4D1-c_000000000007-x')	True	[('crofts_4D1-c_000000000183-x', 80589, 81305, 1, 717, 100.0), ('crofts_4D1-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]	True	[('crofts_4D1-c_000000000183-x', 81311, 82750, 1, 1440, 100.0), ('crofts_4D1-c_000000000007-x', 81311, 82750, 1, 1440, 100.0)]	True	[('crofts_4D1-c_000000000183-x', 80589, 81305, 1, 717, 100.0), ('crofts_4D1-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]
9	0	crofts_31D2	[0, 1]	False	1.0	False	True	[('crofts_31D2-c_000000000007-x', 22881, 23031, 1, 150, 99.338)]	('crofts_31D2-c_000000000007-x',)	True	[('crofts_31D2-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]	True	[('crofts_31D2-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_31D2-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]
10	0	crofts_11D1	[0, 1]	False	1.0	False	True	[('crofts_11D1-c_000000000007-x', 22881, 23031, 1, 150, 99.338)]	('crofts_11D1-c_000000000007-x',)	True	[('crofts_11D1-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]	True	[('crofts_11D1-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_11D1-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]
11	0	crofts_14D2	[0, 1]	False	1.0	False	True	[('crofts_14D2-c_000000000007-x', 81232, 81382, 1, 150, 99.338)]	('crofts_14D2-c_000000000007-x',)	True	[('crofts_14D2-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]	True	[('crofts_14D2-c_000000000007-x', 81311, 82750, 1, 1440, 100.0)]	True	[('crofts_14D2-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]
12	0	crofts_8D2	[0, 1]	False	2.0	False	True	[('crofts_8D2-c_000000005907-x', 81232, 81382, 1, 150, 99.338), ('crofts_8D2-c_000000000030-x', 81232, 81382, 1, 150, 99.338)]	('crofts_8D2-c_000000000030-x', 'crofts_8D2-c_000000005907-x')	True	[('crofts_8D2-c_000000005907-x', 80589, 81305, 1, 717, 100.0), ('crofts_8D2-c_000000000030-x', 80589, 81305, 1, 717, 100.0)]	True	[('crofts_8D2-c_000000005907-x', 81311, 82750, 1, 1440, 100.0), ('crofts_8D2-c_000000000030-x', 81311, 82750, 1, 1440, 100.0)]	True	[('crofts_8D2-c_000000005907-x', 80589, 81305, 1, 717, 100.0), ('crofts_8D2-c_000000000030-x', 80589, 81305, 1, 717, 100.0)]
13	0	crofts_4R	[0, 1]	False	1.0	False	True	[('crofts_4R-c_000000000007-x', 81232, 81382, 1, 150, 99.338)]	('crofts_4R-c_000000000007-x',)	True	[('crofts_4R-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]	True	[('crofts_4R-c_000000000007-x', 81311, 82750, 1, 1440, 100.0)]	True	[('crofts_4R-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]
14	0	crofts_1D2	[0, 1]	False	1.0	False	True	[('crofts_1D2-c_000000000007-x', 81232, 81382, 1, 150, 99.338)]	('crofts_1D2-c_000000000007-x',)	True	[('crofts_1D2-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]	True	[('crofts_1D2-c_000000000007-x', 81311, 82750, 1, 1440, 100.0)]	True	[('crofts_1D2-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]
15	0	crofts_8D3	[0, 1]	False	2.0	False	True	[('crofts_8D3-c_000000005432-x', 22881, 23031, 1, 150, 99.338), ('crofts_8D3-c_000000000024-x', 22881, 23031, 1, 150, 99.338)]	('crofts_8D3-c_000000005432-x', 'crofts_8D3-c_000000000024-x')	True	[('crofts_8D3-c_000000005432-x', 22958, 23674, 1, 717, 100.0), ('crofts_8D3-c_000000000024-x', 22958, 23674, 1, 717, 100.0)]	True	[('crofts_8D3-c_000000005432-x', 21513, 22952, 1, 1440, 100.0), ('crofts_8D3-c_000000000024-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_8D3-c_000000005432-x', 22958, 23674, 1, 717, 100.0), ('crofts_8D3-c_000000000024-x', 22958, 23674, 1, 717, 100.0)]
16	0	crofts_14D3	[0, 1]	False	1.0	False	True	[('crofts_14D3-c_000000000007-x', 22881, 23031, 1, 150, 99.338)]	('crofts_14D3-c_000000000007-x',)	True	[('crofts_14D3-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]	True	[('crofts_14D3-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_14D3-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]
17	0	crofts_24D2	[0, 1]	False	2.0	False	True	[('crofts_24D2-c_000000000173-x', 22881, 23031, 1, 150, 99.338), ('crofts_24D2-c_000000000007-x', 22881, 23031, 1, 150, 99.338)]	('crofts_24D2-c_000000000007-x', 'crofts_24D2-c_000000000173-x')	True	[('crofts_24D2-c_000000000173-x', 22958, 23674, 1, 717, 100.0), ('crofts_24D2-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]	True	[('crofts_24D2-c_000000000173-x', 21513, 22952, 1, 1440, 100.0), ('crofts_24D2-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_24D2-c_000000000173-x', 22958, 23674, 1, 717, 100.0), ('crofts_24D2-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]
18	0	crofts_16D1	[0, 1]	False	1.0	False	True	[('crofts_16D1-c_000000000007-x', 22881, 23031, 1, 150, 99.338)]	('crofts_16D1-c_000000000007-x',)	True	[('crofts_16D1-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]	True	[('crofts_16D1-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_16D1-c_000000000007-x', 22958, 23674, 1, 717, 100.0)]
19	0	crofts_9R	[0, 1]	False	1.0	False	True	[('crofts_9R-c_000000000007-x', 22881, 23032, 1, 150, 98.684)]	('crofts_9R-c_000000000007-x',)	True	[('crofts_9R-c_000000000007-x', 22959, 23675, 1, 717, 100.0)]	True	[('crofts_9R-c_000000000007-x', 21513, 22952, 1, 1440, 100.0)]	True	[('crofts_9R-c_000000000007-x', 22959, 23675, 1, 717, 100.0)]
20	0	crofts_innoc	[0, 1]	False	1.0	False	True	[('crofts_innoc-c_000000000007-x', 81232, 81383, 1, 150, 98.684)]	('crofts_innoc-c_000000000007-x',)	True	[('crofts_innoc-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]	True	[('crofts_innoc-c_000000000007-x', 81312, 82751, 1, 1440, 100.0)]	True	[('crofts_innoc-c_000000000007-x', 80589, 81305, 1, 717, 100.0)]
