	gene_name	gene_id	variant_position	Ref_Full_Region_Count	Ref_Full_has_Wildtype	Ref_Sim_Region_Count	Ref_Sim_has_Wildtype	Crofts_Innoc_Region_Count	Crofts_Innoc_has_Wildtype	Crofts_Primary_w_Region	Crofts_Primary_wo_Region	Crofts_Relapse_w_Region	Crofts_Relapse_wo_Region	Iquitos_Primary_w_Region	Iquitos_Primary_wo_Region	Iquitos_Relapse_w_Region	Iquitos_Relapse_wo_Region	Crofts_Primary_w_Wildtype	Crofts_Relapse_w_Wildtype	Iquitos_Primary_w_Wildtype	Iquitos_Relapse_w_Wildtype	Crofts_Primary_wo_Wildtype	Crofts_Relapse_wo_Wildtype	Iquitos_Primary_wo_Wildtype	Iquitos_Relapse_wo_Wildtype	Crofts_Primary_Multicopy	Crofts_Relapse_Multicopy	Iquitos_Primary_Multicopy	Iquitos_Relapse_Multicopy	SNPs_positions	SNPd_populations	SNP_references	Innoc_w_Variant	Crofts_Primary_w_Variant	Crofts_Relapse_w_Variant	Iquitos_Pair_w_Variant	Matched_to_Crofts_Data	Missing_in_our_Data	Misreported_by_them	Innoc_wo_Variant	Crofts_Primary_wo_Variant	Crofts_Relapse_wo_Variant	Iquitos_Pair_wo_Variant	Iquitos_Relapse_wo_Variant	Iquitos_Relapse_w_Variant
0	fedA Hemerythrin	CJ8421_RS00265, CJ8421_RS00260	['67639,67640']	1.0	True	1.0	True	1.0	False	15	0	6	0	6	0	5	0	2	3	1	2	13	3	5	3	5	0	2	2	{66623.0, 67639.0}	{'crofts_8D3', 'pCAMPY86', 'crofts_innoc', 'crofts_9R', 'crofts_16D0', 'crofts_16D1', 'crofts_11D1', 'crofts_8R2', 'crofts_9D2', 'crofts_8D2'}	{'CG8421', 'CAMPY12_S6'}	1	6	2	1	1.0	0.0	8.0	0	9	4	11	5	1
1	dcuA Anaerobic C4-dicarboxylate Transporter	CJ8421_RS00460	['100530,100531']	1.0	True	1.0	True	1.0	True	15	0	6	0	6	0	6	0	15	6	2	2	0	0	4	4	5	0	1	0	set()	set()	set()	0	0	0	0	0.0	0.0	0.0	1	15	6	12	6	0
2	Conserved Hypothetical Proteins	CJ8421_RS00870, CJ8421_RS00875	['168690,168691']	1.0	True	1.0	True	1.0	True	15	0	6	0	3	0	3	0	15	2	1	1	0	4	2	1	5	0	1	0	{168690.0}	{'crofts_8R2', 'crofts_4R', 'crofts_31R', 'crofts_9R'}	{'CG8421'}	0	0	4	0	2.0	0.0	0.0	1	15	2	12	6	0
3	Hypothetical Protein	CJ8421_RS00870	['168691']	1.0	True	1.0	True	1.0	True	15	0	6	0	3	0	2	0	15	2	1	1	0	4	2	1	5	0	0	0	{168690.0}	{'crofts_8R2', 'crofts_4R', 'crofts_31R', 'crofts_9R'}	{'CG8421'}	0	0	4	0	2.0	0.0	0.0	1	15	2	12	6	0
4	thiF Family Protein	CJ8421_RS01430	['268276']	1.0	True	1.0	True	1.0	True	15	0	6	0	6	0	6	0	15	5	0	0	0	1	6	6	5	0	1	1	{268275.0}	{'crofts_31R'}	{'CG8421'}	0	0	1	0	0.0	2.0	0.0	1	15	5	12	6	0
5	motA Falgellar Motor Protein	CJ8421_RS01640	['302194']	1.0	True	1.0	True	1.0	True	15	0	6	0	6	0	6	0	15	6	0	0	0	0	6	6	5	0	0	0	set()	set()	set()	0	0	0	0	0.0	0.0	0.0	1	15	6	12	6	0
6	cmeR Bile Sensing Transcriptional Regulator	CJ8421_RS01805	['335945,335946']	1.0	True	1.0	True	1.0	True	15	0	6	0	4	0	5	0	15	4	1	1	0	2	3	4	5	0	0	0	{335945.0, 335971.0}	{'crofts_31R', 'crofts_4R'}	{'CG8421'}	0	0	2	0	1.0	0.0	0.0	1	15	4	12	6	0
7	cmeR Bile Sensing Transcriptional Regulator	CJ8421_RS01805	['335972']	1.0	True	1.0	True	1.0	True	15	0	6	0	4	0	5	0	15	4	3	3	0	2	1	2	5	0	0	0	{335945.0, 335971.0}	{'crofts_31R', 'crofts_4R'}	{'CG8421'}	0	0	2	0	0.0	1.0	0.0	1	15	4	12	6	0
8	Membrane GTP Binding Protein	CJ8421_RS02765, CJ8421_RS02760	['517620,517621']	1.0	True	1.0	True	1.0	True	15	0	6	0	5	0	5	0	15	5	0	1	0	1	5	4	5	0	2	2	set()	set()	set()	0	0	0	0	0.0	1.0	0.0	1	15	6	12	6	0
9	Membrane GTP Binding Protein	CJ8421_RS02765, CJ8421_RS02760	['517621']	1.0	True	1.0	True	1.0	True	15	0	6	0	5	0	5	0	15	5	0	1	0	1	5	4	5	0	2	2	set()	set()	set()	0	0	0	0	0.0	1.0	0.0	1	15	6	12	6	0
